priority	id	status	title
0	ha632hPy-40	pending	How To Make MILLIONS Trading Forex As a TEENAGER
0	cWIfkzA0GfM	pending	How To Trade Forex During The 2023 Recession
0	5cnHDWQkwLg	done	How To Trade SMALL Forex Accounts Using the 1 Minute Timeframe
0	0KRT1dNnR0Y	pending	How To Use AI To Get RICH Trading Forex
0	M5qKSVhjtQg	pending	How to Make $5,000 in 3 WEEKS Trading FOREX
0	GTabpw0sWEE	pending	How to Start Trading Forex With ONLY $5 TODAY!
0	kN44EybgWik	pending	How to make $1,000 PER DAY Trading ALTCOINS -  INSANE ALTCOIN STRATEGY!
0	UJKbrNc_jT4	pending	How to make a MILLION dollars in 2022 | Real Methods!!
1	gs_g60ZkhFE	pending	I Made $42,000 In 24 Hours Trading Every Forex Session!
1	eJF2Zniinu0	pending	I Traded Futures For The First Time
1	waGXvsGeEPU	pending	I Tried Trading LONDON Session Again After 3 Years
0	Yq31IN9PFPw	pending	INSANE Forex Mobile Trading STRATEGY!! | Perfect MT4 Entries! (Mamba Strategy)
0	4B3WaySG5zg	pending	INSANE Forex Strategy That Grows SMALL Accounts
0	UQQnN6cry8A	done	INSANE SIMPLE Forex Trading Strategy
0	o8TCjsQyCtM	pending	INSANE Scalping Strategy For SMALL Forex Accounts! (EASY) -Mamba
1	Ub-Cb-flzIE	pending	LIVE Scalping Making $32,000 Trading (Markets Are Back)
1	bOZ0gT1OZRg	pending	LIVE Scalping Making $39,000 Trading (UP $100,000 In 4 Days)
1	m4UvnYmp_ls	pending	LIVE Scalping Making $45,000 Trading
1	4qDRkyNRDVg	pending	LIVE Scalping Making $45,000 Trading
1	w0LZX7H9tGQ	pending	LIVE Scalping Making $54,000 Trading
1	1v4ssSHMEdc	done	MAMBAFX Scalping LIVE Making $30,000 Trading
0	B0zzPVabhnU	pending	MY FOREX TRADING SETUP | How I Trade Revealed..
0	-2oONqLBAq4	pending	Make Millions SCALPING Forex | FULL FREE COURSE!!
0	enkOyd9P96Q	pending	Making 5k In 1 Week On a SMALL ACCOUNT | Huge Win Breakdown!  [ FOREX STRATEGY ]
0	Gav-iFiFDYs	done	Super FOREX SCALPING STRATEGY for Small Accounts | EASY PROFITS!!
0	BEsTRZ7KXSE	done	The 3 Minute Trading Setup That Made Me RICH
0	NGwPFkOEVpA	pending	The BEST Scalping Strategy For SMALL Forex Accounts!
0	4JDL4LkFay0	done	The BEST Small Account Strategy NOBODY Tells You
0	vcLKxGb5bUM	pending	The BEST Trading Strategy to get FUNDED FAST
0	W6W5A1v3r8A	pending	The EASIEST Trading SETUP on Youtube (Simple and Verified)
0	QuUKGJ7GG1k	pending	The FOREX STRATEGY That Bought Me 10 CARS | My SECRET Revealed!
0	sVFbwebsrYs	pending	The NEW Futures Trading Strategy That ALWAYS Works
0	kJVaVdmOTrA	pending	The ONLY Trading Strategy You Need for 2026
0	h-Z7CEqBO3s	pending	The Only 1-Minute Scalping Strategy You’ll EVER NEED
0	yEuvm9JmpjU	done	The QUICKEST Strategy To Flip Any Small Account
0	J-p8i81UWaA	pending	The ULTIMATE Forex Risk Management Guide + EASY Strategy!
1	Xyb8rdUYOW8	pending	This Candlestick Pattern Changes EVERYTHING
0	qIgD5sEbHO8	pending	This FOREX Strategy Made Me 2.5k in 12 hours | LIVE TRADE BREAKDOWN!!
0	m6sYXCXqUOI	pending	This Forex Strategy Actually Works
0	CmoPttNyky0	pending	This NEW 2026 Futures Strategy is INSANE
0	7jhHSKh23H4	pending	This New Futures Strategy Changes EVERYTHING
0	sf2p3tSCiP4	pending	This Strategy Makes You Profitable INSTANTLY
0	wEwYl0FLIdc	pending	This Trading Strategy Helps Pay Bills
0	m2I8Sv4-VcY	pending	This Trading Strategy Makes Me $250,000 WEEKLY
1	KlfyVHp5ir4	pending	Turning $1,000 Into $10,000 In ONLY 3 Forex Trades LIVE
1	twH02cO5eDI	pending	Turning $1,000 into $6,000 in 4 Days Trading Forex LIVE
1	UcfDbB0fYFY	pending	Turning $10 - $1,000 FOREX CHALLENGE - Ep. 1 | LIVE TRADING!!
1	WceSkiG_f0M	pending	Turning $10 - $1,000 FOREX CHALLENGE Ep. 3 | Live Trading GOLD!!
1	cUwChc3nrnA	pending	Turning $100 - $10,000 FOREX CHALLENGE - Ep. 2 | LIVE TRADES!! -Mamba
1	wLP4NabA84g	pending	Turning $5 Into $10,000 INSANE FOREX CHALLENGE!! - Ep. 1 | Live Trading!!
2	781EdU3koUM	pending	1 FOREX Trade Bought Me a MCLAREN 720S!!
2	HFnfpruwI0Q	pending	21 year old CRYPTO/FOREX trader buys his 2nd ROLLS ROYCE
2	_I_n1i9cDXM	pending	2k In 1 Day On a SMALL Forex Account + Mamba Jeep From RDBLA!!
2	JQg9auVWMbk	pending	48 Hours With the Worlds RICHEST Trader
2	pBY4zH56Xek	pending	5 Forex TRADING SECRETS They DON'T Want You To KNOW!
2	6pAHipXuLvo	pending	5 Trading Rules that Will Help You Grow a SMALL Forex Account FAST
2	jbcCvq6InBg	pending	Billionaire Makes $350,000 Trading and SPENDS IT ALL
2	fKOJDx_Jc9M	pending	Buying a LAMBORGHINI at AGE 20 | FOREX TRADER
2	Kw4dy16Sm4Y	pending	Day In the Life of MILLIONAIRE Forex Traders | Meeting Fans!
2	zXOJlZ1bapg	pending	Day Trading With ONLY Moving Averages For 1 Week
2	Ikotjbfn2Mo	pending	Day in The Life | MILLIONAIRE FOREX TRADER AT AGE 20
2	ouoqZ7CkFBo	pending	Day in the Life of the World's RICHEST Trader
2	aNTyUR1QhuU	pending	Forex Trader's $7,500,000 Dollar House Tour
2	2u2oGrIi6M0	pending	Forex Trading Is Officially OVER..
2	KzyFtSAaiXY	pending	How Much Money You Need to Make From Trading To SURVIVE
2	KNq2S0C1UY8	pending	How trading CRYPTO bought me 2 LAMBOS | Crypto Millionaire secrets..
2	uF5FGGpY5us	pending	I Built a $6,000,000 Day Trading Office
2	K5NtGC0ZZ1Q	pending	I Turned $11 Into $1,100 In ONLY 12 Hours Trading Forex
2	iBc_l8uSpe4	pending	I Turned $5 Into $1,000 In ONLY 4 Days Trading Forex
2	8Ew9bTTYXwQ	pending	I bought 15 cars trading forex, here’s how..
2	AKT6zsF3dIQ	pending	If You’re Feeling Stuck with Trading (WATCH THIS)
2	shv4-KoPL9A	pending	It Started: Forex Trading Is DONE
2	ETLOljfrU_c	pending	Locked in PRISON Until I Make $100,000 Trading
2	WAOXlViNkaY	pending	Making $100,000 Day Trading on an Island
2	KhMKO2pwAmE	pending	Making $100,000 In 30 Minutes Then Spending It ALL
2	IbbVDgZfl00	pending	Making $20,000 Trading and Spent it INSTANTLY
2	sW7oBQNjqo8	pending	Making $200,000 In ONE SINGLE Forex Trade
2	mXGIPuboe4c	pending	Making $200,000 TRADING and Spending it on my WIFE
2	YVyY4R0bYu0	pending	Making $270,000 Trading At A Dealership Then Buying A Car
2	WTJJ4mj1t9s	pending	Making $50,000 Trading Then Giving it Away
2	XH8Ha5un3mU	pending	Making $70,000 In ONLY 15 Minutes Trading FOREX
2	4Hm-WTm9etU	pending	My LAMBORGHINI Got STOLEN While I Was Trading...
2	l0sLC6nxK_s	pending	My NEW $1,000,000 day trading office w/ a SUPER CAR garage!
2	fLD93hxnLIs	pending	My NEW $7,500,000 FOREX Trading Office Tour
2	EZTI4ZgR3RA	pending	REVEALING Our FOREX Trading Strategies With Nick Shawn
2	Rj6insUZXV8	pending	Rich Trader Makes $100,000 Trading In Vegas
2	tYAIJKR8lR4	pending	SECRET Forex Trading HACKS That WORK!
2	I6kJtjAkRT4	pending	The FREE forex indicator that’ll make you a successful trader INSTANTLY!!
2	ejMlfcnImDw	pending	The ONLY FREE Trading Indicator You Need
2	uVyMoCo3T3g	pending	The QUICKEST Way to Grow Small Trading Accounts
0	3CUtKFeQ7Bc	pending	The Trading Guide to MAKE MILLIONS I Wish I Had at 16
2	r8svuBtMnuk	pending	The Wheel of FOREX! | INSANE TRADING CHALLENGE!! Ep. 1
2	d3s9wYjc3Fk	pending	Turning $10 - $1,000 FOREX CHALLENGE Ep. 4 | HUGE PROFITS!!
2	h9QkFsFSEzQ	pending	Turning $200 Into $2400 in 1 Week DAY TRADING
2	d2sWgfEGmik	pending	Using The Apple Vision Pro To Make Millions Trading!
2	tK70HRi1rpk	pending	Young Millionaire Spends $100k on Vacation | Makes it all back
2	6JlV1K4f40s	pending	You’re Being LIED TO About Trading
3	8B4_8dpNFas	pending	6 Habits That Made Me a MILLIONAIRE As a Teenager
3	byXE2GUPCRk	pending	Buying My 20TH SUPER CAR At Age 22
3	fcAHi_nBLuE	pending	Buying My 8th Rolls Royce
3	mcg7ZpIYNp4	pending	Buying my 3rd Super Car in 2 WEEKS
3	Emkyv0yLLgY	pending	Expensive Vacation With My Wife
3	-ntquWeFoSs	pending	FOREX Bought Me a ROLLS ROYCE at 19!!
3	Q3ivqOq4eJU	pending	Forex Bought Me 9 Cars This Year *NOT CLICKBAIT*
3	wnrO6it2KA8	pending	Forex Bought Me a $2.2 MILLION Dollar MANSION!
3	GqGy8oSwJIo	pending	Forex Bought me Another MANSION
3	-PXGRwl25Gk	pending	Giving $20,000 To Random Strangers (I GOT ROBBED)
3	VlqCZH1QNx0	pending	Giving Away a $300,000 Richard Mille Watch
3	6XwMgHVu9ow	pending	I Bought A Urus Performante To Match My SVJ
3	uID1ai87LPw	pending	I Bought a $3,000,000 Pagani at 25 Years Old
3	8QXBP7SFLPE	pending	I Bought a $400,000 Car from the Side of the Road
3	crww_0fzYHI	pending	I Started With $20.. I’m Now Worth $50,000,000
3	W0-Ihn2aAZM	pending	IML student trying to recruit me gets EXPOSED *Hidden Camera*
3	RI5cMFOZUFc	pending	Making $45,000 Then Spending It All
3	wb73z7aekTM	pending	MambaFX REVEALS His $3,000,000 SUPER Car Collection
3	-1QM02DAx0g	pending	My New $400,000 Louis Vuitton Mclaren
3	RVk4uYQIC4I	pending	NOT Having a Woman Is Making You BROKE
3	Yly-IlBMgNI	pending	Not Having Kids is Making You BROKE
3	j_TAz0T8TeM	pending	Revealing my $6,660,000 Car Collection
3	yWHLeFLXDHc	pending	Spending $1,000,000 on Another SUPERCAR
3	VJpWK-BPe-w	pending	Spending $20,000 to Fix 3 Super Cars
3	HeMyLaeXXK8	pending	Surprising My Assistant With a BMW i8!! *EMOTIONAL*
3	bOqfFvuahr8	pending	Turning $10 - $1,000 FOREX CHALLENGE Ep. 2 | BAD NEWS..
3	tZW5biyyCeA	pending	Turning $5 Into $10,000 INSANE FOREX CHALLENGE!! - Ep. 2 | Easy Strategies!
3	Kb16VAreNhg	pending	Turning $5 Into $10,000 INSANE FOREX CHALLENGE!! - Ep. 3 | 7k IN 1 DAY!!!
3	YUJKkwdmoUo	pending	Turning $50 - $2,000 in 24 hours | INSANE Forex Challenge!!
3	nbko84VFK0w	pending	Week In The Life Of The Youngest Forex Millionaire
3	z2E1DrRKzmA	pending	Why Being Humble is Keeping You BROKE
3	16bE5GrNPjg	pending	Withdrawing $16,000 CASH from a BITCOIN ATM | Turning Bitcoin into Cash !!
3	Juqds_U4xUU	pending	Withdrawing $5,000 CASH from a BITCOIN ATM!! | Turning Bitcoin into Cash!!
2	CQdzD17lD-M	pending	Cave Talk With Mambafx LIVE Ep: 1
2	BvfCLDfd4qk	pending	Live With MambaFX | Live Trading, Technical Analysis, And More!
2	olqdXy4SepA	pending	Live With MambaFX | Live Trading, Technical Analysis, And More! (2)
